sensor_type,device_type,timestamps,x,y,z
Magnetometer,smartphone,1529657274301000000,16.990662,-10.444641,-57.504272
Magnetometer,smartphone,1529657274311000000,15.109253,-10.295105,-56.507874
Magnetometer,smartphone,1529657274321000000,16.139221,-11.837769,-58.103943
Magnetometer,smartphone,1529657274331000000,15.332031,-11.120605,-55.847168
Magnetometer,smartphone,1529657274340000000,15.864563,-9.82666,-56.207275
Magnetometer,smartphone,1529657274350000000,17.053223,-11.128235,-56.199646
Magnetometer,smartphone,1529657274360000000,16.18042,-12.123108,-56.324768
Magnetometer,smartphone,1529657274369000000,18.232727,-10.153198,-56.88629
Magnetometer,smartphone,1529657274380000000,16.221619,-10.137939,-54.43268
Magnetometer,smartphone,1529657274390000000,15.5685425,-10.069275,-56.196594
Magnetometer,smartphone,1529657274400000000,16.697693,-10.43396,-55.725098
Magnetometer,smartphone,1529657274410000000,16.778564,-9.371948,-55.90973
Magnetometer,smartphone,1529657274419000000,18.556213,-10.441589,-57.691956
Magnetometer,smartphone,1529657274428000000,16.273499,-8.799744,-55.430603
Magnetometer,smartphone,1529657274438000000,16.229248,-10.398865,-55.233765
Magnetometer,smartphone,1529657274448000000,16.90979,-8.982849,-55.760193
Magnetometer,smartphone,1529657274458000000,18.260193,-10.173035,-54.626465
Magnetometer,smartphone,1529657274468000000,18.426514,-10.575867,-56.23474
Magnetometer,smartphone,1529657274478000000,18.572998,-10.4522705,-56.401062
Magnetometer,smartphone,1529657274488000000,16.836548,-8.547974,-59.318542
Magnetometer,smartphone,1529657274498000000,16.975403,-9.924316,-55.740356
Magnetometer,smartphone,1529657274508000000,17.271423,-10.191345,-58.805847
Magnetometer,smartphone,1529657274518000000,18.153381,-11.218262,-56.53839
Magnetometer,smartphone,1529657274528000000,18.408203,-10.305786,-56.240845
Magnetometer,smartphone,1529657274537000000,18.119812,-11.192322,-59.28192
Magnetometer,smartphone,1529657274547000000,18.214417,-9.884644,-56.892395
Magnetometer,smartphone,1529657274557000000,17.863464,-11.846924,-58.294678
Magnetometer,smartphone,1529657274566000000,19.216919,-11.024475,-58.335876
Magnetometer,smartphone,1529657274576000000,18.269348,-10.816956,-57.678223
Magnetometer,smartphone,1529657274586000000,18.057251,-10.510254,-60.586548
Magnetometer,smartphone,1529657274596000000,18.222046,-10.145569,-57.69348
Magnetometer,smartphone,1529657274606000000,17.051697,-11.383057,-57.807922
Magnetometer,smartphone,1529657274616000000,18.066406,-10.261536,-58.332825
Magnetometer,smartphone,1529657274625000000,17.190552,-10.998535,-57.173157
Magnetometer,smartphone,1529657274635000000,17.889404,-12.376404,-59.251404
Magnetometer,smartphone,1529657274645000000,18.048096,-12.007141,-56.84204
Magnetometer,smartphone,1529657274655000000,17.807007,-10.914612,-57.507324
Magnetometer,smartphone,1529657274665000000,16.82434,-12.6953125,-58.258057
Magnetometer,smartphone,1529657274675000000,17.970276,-13.072205,-56.495667
Magnetometer,smartphone,1529657274684000000,19.000244,-11.962891,-55.729675
Magnetometer,smartphone,1529657274695000000,18.447876,-12.986755,-55.37567
Magnetometer,smartphone,1529657274705000000,19.200134,-12.771606,-56.845093
Magnetometer,smartphone,1529657274715000000,19.963074,-14.704895,-56.8161
Magnetometer,smartphone,1529657274724000000,19.42749,-14.109802,-58.755493
Magnetometer,smartphone,1529657274734000000,21.699524,-14.978027,-57.484436
Magnetometer,smartphone,1529657274744000000,18.847656,-14.605713,-57.606506
Magnetometer,smartphone,1529657274754000000,20.29419,-15.126038,-57.780457
Magnetometer,smartphone,1529657274764000000,18.5318,-14.196777,-55.34973
Magnetometer,smartphone,1529657274774000000,18.707275,-17.001343,-57.066345
Magnetometer,smartphone,1529657274783000000,19.555664,-15.734863,-57.43103
Magnetometer,smartphone,1529657274793000000,18.829346,-16.60614,-57.722473
Magnetometer,smartphone,1529657274803000000,19.311523,-16.651917,-56.922913
Magnetometer,smartphone,1529657274813000000,18.778992,-15.67688,-56.451416
Magnetometer,smartphone,1529657274822000000,17.028809,-15.776062,-59.162903
Magnetometer,smartphone,1529657274832000000,17.315674,-17.285156,-57.037354
Magnetometer,smartphone,1529657274842000000,16.174316,-16.529846,-56.22711
Magnetometer,smartphone,1529657274851000000,16.149902,-16.256714,-56.71692
Magnetometer,smartphone,1529657274861000000,14.421082,-16.244507,-56.84967
Magnetometer,smartphone,1529657274871000000,15.298462,-17.266846,-55.067444
Magnetometer,smartphone,1529657274881000000,14.500427,-17.448425,-57.30896
Magnetometer,smartphone,1529657274891000000,14.250183,-18.362427,-57.284546
Magnetometer,smartphone,1529657274901000000,15.013123,-17.900085,-56.3385
Magnetometer,smartphone,1529657274911000000,12.87384,-16.51764,-56.655884
Magnetometer,smartphone,1529657274921000000,13.545227,-16.981506,-55.688477
Magnetometer,smartphone,1529657274930000000,15.148926,-17.642212,-56.669617
Magnetometer,smartphone,1529657274940000000,14.260864,-16.99524,-61.509705
Magnetometer,smartphone,1529657274951000000,14.11438,-16.479492,-57.64618
Magnetometer,smartphone,1529657274961000000,13.026428,-16.781616,-58.589172
Magnetometer,smartphone,1529657274969000000,13.400269,-15.602112,-59.750366
Magnetometer,smartphone,1529657274979000000,13.15155,-16.00647,-56.671143
Magnetometer,smartphone,1529657274989000000,13.047791,-16.796875,-56.814575
Magnetometer,smartphone,1529657274999000000,13.095093,-15.327454,-57.492065
Magnetometer,smartphone,1529657275009000000,13.221741,-14.935303,-57.66449
Magnetometer,smartphone,1529657275019000000,11.326599,-15.286255,-60.85205
Magnetometer,smartphone,1529657275029000000,11.354065,-15.689087,-60.842896
Magnetometer,smartphone,1529657275039000000,12.753296,-15.538025,-61.032104
Magnetometer,smartphone,1529657275049000000,12.368774,-16.455078,-59.23004
Magnetometer,smartphone,1529657275059000000,11.952209,-15.206909,-60.54077
Magnetometer,smartphone,1529657275068000000,12.059021,-16.43219,-58.74176
Magnetometer,smartphone,1529657275078000000,11.099243,-16.217041,-59.05304
Magnetometer,smartphone,1529657275088000000,10.850525,-14.862061,-58.755493
Magnetometer,smartphone,1529657275098000000,9.875488,-16.267395,-56.610107
Magnetometer,smartphone,1529657275108000000,9.732056,-16.773987,-58.532715
Magnetometer,smartphone,1529657275117000000,10.096741,-15.077209,-57.44629
Magnetometer,smartphone,1529657275127000000,9.753418,-15.029907,-59.701538
