sensor_type,device_type,timestamps,value1,value2,value3
Pressure,smartphone,1529657274282000000,1018.14764,1010.28766,0.0
Pressure,smartphone,1529657274320000000,1018.14764,1010.28766,0.0
Pressure,smartphone,1529657274358000000,1018.14764,1010.28766,0.0
Pressure,smartphone,1529657274397000000,1018.14764,1010.28766,0.0
Pressure,smartphone,1529657274435000000,1018.1665,1010.3065,0.0
Pressure,smartphone,1529657274473000000,1018.1665,1010.3065,0.0
Pressure,smartphone,1529657274512000000,1018.1665,1010.3065,0.0
Pressure,smartphone,1529657274550000000,1018.1665,1010.3065,0.0
Pressure,smartphone,1529657274589000000,1018.17645,1010.31647,0.0
Pressure,smartphone,1529657274627000000,1018.17645,1010.31647,0.0
Pressure,smartphone,1529657274666000000,1018.17645,1010.31647,0.0
Pressure,smartphone,1529657274704000000,1018.17645,1010.31647,0.0
Pressure,smartphone,1529657274743000000,1018.18567,1010.3257,0.0
Pressure,smartphone,1529657274781000000,1018.18567,1010.3257,0.0
Pressure,smartphone,1529657274819000000,1018.18567,1010.3257,0.0
Pressure,smartphone,1529657274858000000,1018.18567,1010.3257,0.0
Pressure,smartphone,1529657274896000000,1018.1908,1010.3308,0.0
Pressure,smartphone,1529657274935000000,1018.1908,1010.3308,0.0
Pressure,smartphone,1529657274973000000,1018.1908,1010.3308,0.0
Pressure,smartphone,1529657275012000000,1018.1908,1010.3308,0.0
Pressure,smartphone,1529657275050000000,1018.19855,1010.33856,0.0
Pressure,smartphone,1529657275088000000,1018.19855,1010.33856,0.0
Pressure,smartphone,1529657275127000000,1018.19855,1010.33856,0.0
Pressure,smartphone,1529657275166000000,1018.19855,1010.33856,0.0
Pressure,smartphone,1529657275204000000,1018.2139,1010.35394,0.0
Pressure,smartphone,1529657275243000000,1018.2139,1010.35394,0.0
Pressure,smartphone,1529657275281000000,1018.2139,1010.35394,0.0
Pressure,smartphone,1529657275319000000,1018.2139,1010.35394,0.0
Pressure,smartphone,1529657275358000000,1018.22424,1010.36426,0.0
Pressure,smartphone,1529657275397000000,1018.22424,1010.36426,0.0
Pressure,smartphone,1529657275435000000,1018.22424,1010.36426,0.0
Pressure,smartphone,1529657275473000000,1018.22424,1010.36426,0.0
Pressure,smartphone,1529657275512000000,1018.2316,1010.37164,0.0
Pressure,smartphone,1529657275550000000,1018.2316,1010.37164,0.0
Pressure,smartphone,1529657275589000000,1018.2316,1010.37164,0.0
Pressure,smartphone,1529657275627000000,1018.2316,1010.37164,0.0
Pressure,smartphone,1529657275665000000,1018.2321,1010.37213,0.0
Pressure,smartphone,1529657275704000000,1018.2321,1010.37213,0.0
Pressure,smartphone,1529657275742000000,1018.2321,1010.37213,0.0
Pressure,smartphone,1529657275781000000,1018.2321,1010.37213,0.0
Pressure,smartphone,1529657275819000000,1018.2301,1010.3701,0.0
Pressure,smartphone,1529657275858000000,1018.2301,1010.3701,0.0
Pressure,smartphone,1529657275896000000,1018.2301,1010.3701,0.0
Pressure,smartphone,1529657275935000000,1018.2301,1010.3701,0.0
Pressure,smartphone,1529657275973000000,1018.2306,1010.3706,0.0
Pressure,smartphone,1529657276012000000,1018.2306,1010.3706,0.0
Pressure,smartphone,1529657276050000000,1018.2306,1010.3706,0.0
Pressure,smartphone,1529657276088000000,1018.2306,1010.3706,0.0
Pressure,smartphone,1529657276127000000,1018.2306,1010.3706,0.0
Pressure,smartphone,1529657276166000000,1018.2376,1010.3776,0.0
Pressure,smartphone,1529657276204000000,1018.2376,1010.3776,0.0
Pressure,smartphone,1529657276242000000,1018.2376,1010.3776,0.0
Pressure,smartphone,1529657276281000000,1018.2376,1010.3776,0.0
Pressure,smartphone,1529657276320000000,1018.2455,1010.3855,0.0
Pressure,smartphone,1529657276357000000,1018.2455,1010.3855,0.0
Pressure,smartphone,1529657276396000000,1018.2455,1010.3855,0.0
Pressure,smartphone,1529657276434000000,1018.2455,1010.3855,0.0
Pressure,smartphone,1529657276473000000,1018.2403,1010.3803,0.0
Pressure,smartphone,1529657276511000000,1018.2403,1010.3803,0.0
Pressure,smartphone,1529657276550000000,1018.2403,1010.3803,0.0
Pressure,smartphone,1529657276589000000,1018.2403,1010.3803,0.0
Pressure,smartphone,1529657276626000000,1018.23865,1010.37866,0.0
Pressure,smartphone,1529657276665000000,1018.23865,1010.37866,0.0
Pressure,smartphone,1529657276704000000,1018.23865,1010.37866,0.0
Pressure,smartphone,1529657276742000000,1018.23865,1010.37866,0.0
Pressure,smartphone,1529657276781000000,1018.2252,1010.36523,0.0
Pressure,smartphone,1529657276819000000,1018.2252,1010.36523,0.0
Pressure,smartphone,1529657276857000000,1018.2252,1010.36523,0.0
Pressure,smartphone,1529657276896000000,1018.2252,1010.36523,0.0
Pressure,smartphone,1529657276934000000,1018.2171,1010.3571,0.0
Pressure,smartphone,1529657276973000000,1018.2171,1010.3571,0.0
Pressure,smartphone,1529657277011000000,1018.2171,1010.3571,0.0
Pressure,smartphone,1529657277050000000,1018.2171,1010.3571,0.0
Pressure,smartphone,1529657277088000000,1018.2145,1010.3545,0.0
Pressure,smartphone,1529657277126000000,1018.2145,1010.3545,0.0
Pressure,smartphone,1529657277165000000,1018.2145,1010.3545,0.0
Pressure,smartphone,1529657277204000000,1018.2145,1010.3545,0.0
Pressure,smartphone,1529657277242000000,1018.21765,1010.35767,0.0
Pressure,smartphone,1529657277280000000,1018.21765,1010.35767,0.0
Pressure,smartphone,1529657277319000000,1018.21765,1010.35767,0.0
Pressure,smartphone,1529657277357000000,1018.21765,1010.35767,0.0
Pressure,smartphone,1529657277396000000,1018.2333,1010.3733,0.0
Pressure,smartphone,1529657277434000000,1018.2333,1010.3733,0.0
Pressure,smartphone,1529657277473000000,1018.2333,1010.3733,0.0
Pressure,smartphone,1529657277511000000,1018.2333,1010.3733,0.0
Pressure,smartphone,1529657277549000000,1018.2378,1010.3778,0.0
Pressure,smartphone,1529657277589000000,1018.2378,1010.3778,0.0
Pressure,smartphone,1529657277626000000,1018.2378,1010.3778,0.0
Pressure,smartphone,1529657277665000000,1018.2378,1010.3778,0.0
Pressure,smartphone,1529657277704000000,1018.23035,1010.37036,0.0
