sensor_type,device_type,timestamps,step
Step_Counter,smartphone,1529657274213000000,4.0
Step_Counter,smartphone,1529657276088000000,5.0
Step_Counter,smartphone,1529657276705000000,6.0
Step_Counter,smartphone,1529657277263000000,7.0
Step_Counter,smartphone,1529657277760000000,8.0
Step_Counter,smartphone,1529657278297000000,9.0
Step_Counter,smartphone,1529657278894000000,10.0
Step_Counter,smartphone,1529657279471000000,11.0
Step_Counter,smartphone,1529657279929000000,12.0
Step_Counter,smartphone,1529657280287000000,13.0
Step_Counter,smartphone,1529657280784000000,14.0
Step_Counter,smartphone,1529657281560000000,15.0
Step_Counter,smartphone,1529657282077000000,16.0
Step_Counter,smartphone,1529657282496000000,16.0
Step_Counter,smartphone,1529657283634000000,17.0
Step_Counter,smartphone,1529657284132000000,18.0
Step_Counter,smartphone,1529657284450000000,19.0
Step_Counter,smartphone,1529657285186000000,20.0
Step_Counter,smartphone,1529657285703000000,21.0
Step_Counter,smartphone,1529657286220000000,22.0
Step_Counter,smartphone,1529657286758000000,23.0
Step_Counter,smartphone,1529657287275000000,24.0
Step_Counter,smartphone,1529657287793000000,25.0
Step_Counter,smartphone,1529657288290000000,26.0
Step_Counter,smartphone,1529657288808000000,27.0
Step_Counter,smartphone,1529657289305000000,28.0
Step_Counter,smartphone,1529657289842000000,29.0
Step_Counter,smartphone,1529657290339000000,30.0
Step_Counter,smartphone,1529657290856000000,31.0
Step_Counter,smartphone,1529657291355000000,32.0
Step_Counter,smartphone,1529657291872000000,33.0
Step_Counter,smartphone,1529657292369000000,34.0
Step_Counter,smartphone,1529657292906000000,35.0
Step_Counter,smartphone,1529657293384000000,36.0
Step_Counter,smartphone,1529657293921000000,37.0
Step_Counter,smartphone,1529657294399000000,38.0
Step_Counter,smartphone,1529657294936000000,39.0
Step_Counter,smartphone,1529657295414000000,40.0
Step_Counter,smartphone,1529657295931000000,41.0
Step_Counter,smartphone,1529657296409000000,42.0
Step_Counter,smartphone,1529657296925000000,43.0
Step_Counter,smartphone,1529657297424000000,44.0
Step_Counter,smartphone,1529657297961000000,45.0
Step_Counter,smartphone,1529657298438000000,46.0
Step_Counter,smartphone,1529657298975000000,47.0
Step_Counter,smartphone,1529657299472000000,48.0
Step_Counter,smartphone,1529657300010000000,49.0
Step_Counter,smartphone,1529657300507000000,50.0
Step_Counter,smartphone,1529657301044000000,51.0
Step_Counter,smartphone,1529657301542000000,52.0
Step_Counter,smartphone,1529657302079000000,53.0
Step_Counter,smartphone,1529657302576000000,54.0
Step_Counter,smartphone,1529657303114000000,55.0
Step_Counter,smartphone,1529657303591000000,56.0
Step_Counter,smartphone,1529657304129000000,57.0
Step_Counter,smartphone,1529657304606000000,58.0
Step_Counter,smartphone,1529657305143000000,59.0
Step_Counter,smartphone,1529657305620000000,60.0
Step_Counter,smartphone,1529657306158000000,61.0
Step_Counter,smartphone,1529657306636000000,62.0
Step_Counter,smartphone,1529657307173000000,63.0
Step_Counter,smartphone,1529657307671000000,64.0
Step_Counter,smartphone,1529657308207000000,65.0
Step_Counter,smartphone,1529657308705000000,66.0
Step_Counter,smartphone,1529657309222000000,67.0
Step_Counter,smartphone,1529657309720000000,68.0
Step_Counter,smartphone,1529657310237000000,69.0
Step_Counter,smartphone,1529657310734000000,70.0
Step_Counter,smartphone,1529657311272000000,71.0
Step_Counter,smartphone,1529657311749000000,72.0
Step_Counter,smartphone,1529657312286000000,73.0
Step_Counter,smartphone,1529657312784000000,74.0
Step_Counter,smartphone,1529657313321000000,75.0
Step_Counter,smartphone,1529657313839000000,76.0
Step_Counter,smartphone,1529657314355000000,77.0
Step_Counter,smartphone,1529657314854000000,78.0
Step_Counter,smartphone,1529657315371000000,79.0
Step_Counter,smartphone,1529657315848000000,80.0
Step_Counter,smartphone,1529657316366000000,81.0
Step_Counter,smartphone,1529657316863000000,82.0
Step_Counter,smartphone,1529657317400000000,83.0
Step_Counter,smartphone,1529657317878000000,84.0
Step_Counter,smartphone,1529657318395000000,85.0
Step_Counter,smartphone,1529657318893000000,86.0
Step_Counter,smartphone,1529657319430000000,87.0
Step_Counter,smartphone,1529657319907000000,88.0
Step_Counter,smartphone,1529657320444000000,89.0
Step_Counter,smartphone,1529657320902000000,90.0
Step_Counter,smartphone,1529657321420000000,91.0
Step_Counter,smartphone,1529657321897000000,92.0
Step_Counter,smartphone,1529657322414000000,93.0
Step_Counter,smartphone,1529657322892000000,94.0
Step_Counter,smartphone,1529657323409000000,95.0
Step_Counter,smartphone,1529657323887000000,96.0
Step_Counter,smartphone,1529657324404000000,97.0
Step_Counter,smartphone,1529657324902000000,98.0
Step_Counter,smartphone,1529657325398000000,99.0
Step_Counter,smartphone,1529657325896000000,100.0
Step_Counter,smartphone,1529657326414000000,101.0
Step_Counter,smartphone,1529657326911000000,102.0
Step_Counter,smartphone,1529657327428000000,103.0
Step_Counter,smartphone,1529657327906000000,104.0
Step_Counter,smartphone,1529657328443000000,105.0
Step_Counter,smartphone,1529657328921000000,106.0
Step_Counter,smartphone,1529657329458000000,107.0
Step_Counter,smartphone,1529657329935000000,108.0
Step_Counter,smartphone,1529657330452000000,109.0
Step_Counter,smartphone,1529657330951000000,110.0
Step_Counter,smartphone,1529657331448000000,111.0
Step_Counter,smartphone,1529657331965000000,112.0
Step_Counter,smartphone,1529657332502000000,113.0
Step_Counter,smartphone,1529657332979000000,114.0
Step_Counter,smartphone,1529657333497000000,115.0
Step_Counter,smartphone,1529657333994000000,116.0
Step_Counter,smartphone,1529657334512000000,117.0
Step_Counter,smartphone,1529657335009000000,118.0
Step_Counter,smartphone,1529657335526000000,119.0
Step_Counter,smartphone,1529657336005000000,120.0
Step_Counter,smartphone,1529657336542000000,121.0
Step_Counter,smartphone,1529657337019000000,122.0
Step_Counter,smartphone,1529657337536000000,123.0
Step_Counter,smartphone,1529657338033000000,124.0
Step_Counter,smartphone,1529657338551000000,125.0
Step_Counter,smartphone,1529657339048000000,126.0
Step_Counter,smartphone,1529657339566000000,127.0
Step_Counter,smartphone,1529657340044000000,128.0
Step_Counter,smartphone,1529657352774000000,128.0
Step_Counter,smartphone,1529657402634000000,128.0
Step_Counter,smartphone,1529657403755000000,129.0
Step_Counter,smartphone,1529657472006000000,129.0
Step_Counter,smartphone,1529657472876000000,130.0
Step_Counter,smartphone,1529657476179000000,131.0
Step_Counter,smartphone,1529657476796000000,132.0
Step_Counter,smartphone,1529657540815000000,132.0
Step_Counter,smartphone,1529657541699000000,133.0
Step_Counter,smartphone,1529657542316000000,134.0
Step_Counter,smartphone,1529657543033000000,135.0
Step_Counter,smartphone,1529657543431000000,136.0
Step_Counter,smartphone,1529657543888000000,137.0
Step_Counter,smartphone,1529657544147000000,138.0
Step_Counter,smartphone,1529657544505000000,139.0
Step_Counter,smartphone,1529657545102000000,140.0
Step_Counter,smartphone,1529657549042000000,141.0
Step_Counter,smartphone,1529657549420000000,142.0
Step_Counter,smartphone,1529657549798000000,143.0
Step_Counter,smartphone,1529657550076000000,144.0
Step_Counter,smartphone,1529657550593000000,145.0
Step_Counter,smartphone,1529657550892000000,146.0
Step_Counter,smartphone,1529657551449000000,147.0
Step_Counter,smartphone,1529657551747000000,148.0
Step_Counter,smartphone,1529657552046000000,149.0
Step_Counter,smartphone,1529657552544000000,150.0
Step_Counter,smartphone,1529657552862000000,151.0
Step_Counter,smartphone,1529657553299000000,152.0
Step_Counter,smartphone,1529657553598000000,153.0
Step_Counter,smartphone,1529657554036000000,154.0
Step_Counter,smartphone,1529657554354000000,155.0
Step_Counter,smartphone,1529657554752000000,156.0
Step_Counter,smartphone,1529657555130000000,157.0
Step_Counter,smartphone,1529657555628000000,158.0
Step_Counter,smartphone,1529657555946000000,159.0
Step_Counter,smartphone,1529657556483000000,160.0
Step_Counter,smartphone,1529657556801000000,161.0
Step_Counter,smartphone,1529657557209000000,162.0
Step_Counter,smartphone,1529657557617000000,163.0
Step_Counter,smartphone,1529657558075000000,164.0
Step_Counter,smartphone,1529657558373000000,165.0
Step_Counter,smartphone,1529657558871000000,166.0
Step_Counter,smartphone,1529657559169000000,167.0
Step_Counter,smartphone,1529657559627000000,168.0
Step_Counter,smartphone,1529657559965000000,169.0
Step_Counter,smartphone,1529657560482000000,170.0
Step_Counter,smartphone,1529657561278000000,171.0
Step_Counter,smartphone,1529657561666000000,172.0
Step_Counter,smartphone,1529657562055000000,173.0
Step_Counter,smartphone,1529657562333000000,174.0
Step_Counter,smartphone,1529657562890000000,175.0
Step_Counter,smartphone,1529657563407000000,176.0
Step_Counter,smartphone,1529657563765000000,177.0
Step_Counter,smartphone,1529657564123000000,178.0
Step_Counter,smartphone,1529657564423000000,179.0
Step_Counter,smartphone,1529657564899000000,180.0
Step_Counter,smartphone,1529657565218000000,181.0
Step_Counter,smartphone,1529657565656000000,182.0
Step_Counter,smartphone,1529657565974000000,183.0
Step_Counter,smartphone,1529657566373000000,184.0
Step_Counter,smartphone,1529657566751000000,185.0
Step_Counter,smartphone,1529657567308000000,186.0
Step_Counter,smartphone,1529657567686000000,187.0
Step_Counter,smartphone,1529657567964000000,188.0
Step_Counter,smartphone,1529657568303000000,189.0
Step_Counter,smartphone,1529657568660000000,190.0
Step_Counter,smartphone,1529657569018000000,191.0
Step_Counter,smartphone,1529657569496000000,192.0
Step_Counter,smartphone,1529657569874000000,193.0
Step_Counter,smartphone,1529657570372000000,194.0
Step_Counter,smartphone,1529657570650000000,195.0
Step_Counter,smartphone,1529657571127000000,196.0
Step_Counter,smartphone,1529657571446000000,197.0
Step_Counter,smartphone,1529657571923000000,198.0
Step_Counter,smartphone,1529657572281000000,199.0
Step_Counter,smartphone,1529657572699000000,200.0
Step_Counter,smartphone,1529657573017000000,201.0
Step_Counter,smartphone,1529657573337000000,202.0
Step_Counter,smartphone,1529657573734000000,203.0
Step_Counter,smartphone,1529657574032000000,204.0
Step_Counter,smartphone,1529657574590000000,205.0
Step_Counter,smartphone,1529657574968000000,206.0
Step_Counter,smartphone,1529657575346000000,207.0
Step_Counter,smartphone,1529657575763000000,208.0
Step_Counter,smartphone,1529657576082000000,209.0
Step_Counter,smartphone,1529657576540000000,210.0
Step_Counter,smartphone,1529657576858000000,211.0
Step_Counter,smartphone,1529657577316000000,212.0
Step_Counter,smartphone,1529657577674000000,213.0
Step_Counter,smartphone,1529657578171000000,214.0
Step_Counter,smartphone,1529657578510000000,215.0
Step_Counter,smartphone,1529657578908000000,216.0
Step_Counter,smartphone,1529657579226000000,217.0
Step_Counter,smartphone,1529657579505000000,218.0
