sensor_type,device_type,timestamps,lux
TCS3400 ALS,smartphone,1528370171480000000,499.0
TCS3400 ALS,smartphone,1528370172704000000,496.0
TCS3400 ALS,smartphone,1528370173112000000,499.0
TCS3400 ALS,smartphone,1528370173317000000,501.0
TCS3400 ALS,smartphone,1528370173522000000,505.0
TCS3400 ALS,smartphone,1528370173726000000,507.0
TCS3400 ALS,smartphone,1528370173930000000,505.0
TCS3400 ALS,smartphone,1528370174339000000,507.0
TCS3400 ALS,smartphone,1528370174748000000,510.0
TCS3400 ALS,smartphone,1528370175156000000,505.0
TCS3400 ALS,smartphone,1528370175566000000,508.0
TCS3400 ALS,smartphone,1528370175769000000,510.0
TCS3400 ALS,smartphone,1528370175974000000,508.0
TCS3400 ALS,smartphone,1528370176996000000,507.0
TCS3400 ALS,smartphone,1528370177405000000,508.0
TCS3400 ALS,smartphone,1528370177609000000,507.0
TCS3400 ALS,smartphone,1528370178631000000,505.0
TCS3400 ALS,smartphone,1528370179039000000,507.0
TCS3400 ALS,smartphone,1528370179244000000,508.0
TCS3400 ALS,smartphone,1528370179448000000,507.0
TCS3400 ALS,smartphone,1528370179652000000,505.0
TCS3400 ALS,smartphone,1528370179857000000,507.0
TCS3400 ALS,smartphone,1528370180062000000,512.0
TCS3400 ALS,smartphone,1528370180470000000,511.0
TCS3400 ALS,smartphone,1528370180675000000,512.0
TCS3400 ALS,smartphone,1528370181083000000,514.0
TCS3400 ALS,smartphone,1528370181288000000,515.0
TCS3400 ALS,smartphone,1528370181492000000,514.0
TCS3400 ALS,smartphone,1528370181696000000,515.0
TCS3400 ALS,smartphone,1528370181900000000,514.0
TCS3400 ALS,smartphone,1528370182310000000,511.0
TCS3400 ALS,smartphone,1528370182514000000,517.0
TCS3400 ALS,smartphone,1528370183332000000,515.0
TCS3400 ALS,smartphone,1528370184149000000,514.0
TCS3400 ALS,smartphone,1528370184967000000,515.0
TCS3400 ALS,smartphone,1528370185784000000,514.0
TCS3400 ALS,smartphone,1528370186397000000,515.0
TCS3400 ALS,smartphone,1528370186602000000,517.0
TCS3400 ALS,smartphone,1528370186806000000,515.0
TCS3400 ALS,smartphone,1528370187623000000,517.0
TCS3400 ALS,smartphone,1528370189463000000,514.0
TCS3400 ALS,smartphone,1528370189667000000,515.0
TCS3400 ALS,smartphone,1528370190076000000,517.0
TCS3400 ALS,smartphone,1528370191506000000,518.0
TCS3400 ALS,smartphone,1528370191710000000,517.0
TCS3400 ALS,smartphone,1528370192528000000,518.0
TCS3400 ALS,smartphone,1528370192732000000,517.0
TCS3400 ALS,smartphone,1528370192936000000,515.0
TCS3400 ALS,smartphone,1528370193141000000,517.0
TCS3400 ALS,smartphone,1528370193345000000,515.0
TCS3400 ALS,smartphone,1528370193550000000,517.0
TCS3400 ALS,smartphone,1528370195798000000,518.0
TCS3400 ALS,smartphone,1528370196410000000,517.0
TCS3400 ALS,smartphone,1528370200702000000,515.0
TCS3400 ALS,smartphone,1528370201111000000,514.0
TCS3400 ALS,smartphone,1528370201315000000,515.0
TCS3400 ALS,smartphone,1528370201520000000,514.0
TCS3400 ALS,smartphone,1528370201929000000,512.0
TCS3400 ALS,smartphone,1528370202338000000,515.0
TCS3400 ALS,smartphone,1528370202541000000,517.0
TCS3400 ALS,smartphone,1528370202950000000,518.0
TCS3400 ALS,smartphone,1528370203154000000,517.0
TCS3400 ALS,smartphone,1528370203359000000,510.0
TCS3400 ALS,smartphone,1528370203563000000,496.0
TCS3400 ALS,smartphone,1528370203767000000,493.0
TCS3400 ALS,smartphone,1528370203972000000,500.0
TCS3400 ALS,smartphone,1528370204176000000,507.0
TCS3400 ALS,smartphone,1528370204381000000,512.0
TCS3400 ALS,smartphone,1528370204585000000,514.0
TCS3400 ALS,smartphone,1528370204789000000,518.0
TCS3400 ALS,smartphone,1528370205198000000,517.0
TCS3400 ALS,smartphone,1528370205606000000,515.0
TCS3400 ALS,smartphone,1528370205811000000,518.0
TCS3400 ALS,smartphone,1528370206015000000,519.0
TCS3400 ALS,smartphone,1528370206220000000,518.0
TCS3400 ALS,smartphone,1528370208877000000,517.0
TCS3400 ALS,smartphone,1528370209286000000,515.0
TCS3400 ALS,smartphone,1528370210103000000,517.0
TCS3400 ALS,smartphone,1528370210512000000,515.0
TCS3400 ALS,smartphone,1528370210920000000,517.0
TCS3400 ALS,smartphone,1528370211125000000,515.0
TCS3400 ALS,smartphone,1528370211328000000,517.0
