sensor_type,device_type,timestamps,ssid,bssid,frequency,level 
WiFi,smartphone,1528010811465000000,eduroam,2c:d0:2d:6a:7d:01,2412,-46
WiFi,smartphone,1528010811465000000,VU-Campusnet,2c:d0:2d:6a:7d:00,2412,-46
WiFi,smartphone,1528010811465000000,eduroam,2c:d0:2d:37:e7:c1,2412,-75
WiFi,smartphone,1528010811465000000,VUwirelessSetup,2c:d0:2d:6a:7d:03,2412,-46
WiFi,smartphone,1528010811465000000,eduroam,2c:d0:2d:50:70:31,2462,-71
WiFi,smartphone,1528010811465000000,VU-Campusnet,2c:d0:2d:50:70:30,2462,-73
WiFi,smartphone,1528010811465000000,VU-Campusnet,2c:d0:2d:37:e7:c0,2412,-74
WiFi,smartphone,1528010811465000000,VU-Campusnet,2c:d0:2d:32:40:e0,2437,-67
WiFi,smartphone,1528010811466000000,eduroam,2c:d0:2d:32:40:e1,2437,-67
WiFi,smartphone,1528010811465000000,DIRECT-C0-HP OfficeJet Pro 6970,f4:30:b9:31:98:c1,2437,-79
WiFi,smartphone,1528010811465000000,VUwirelessSetup,2c:d0:2d:50:70:33,2462,-70
WiFi,smartphone,1528010811465000000,VUwirelessSetup,2c:d0:2d:37:e7:c3,2412,-76
WiFi,smartphone,1528010811465000000,VUwirelessSetup,2c:d0:2d:32:40:e3,2437,-66
WiFi,smartphone,1528010811465000000,HP-Print-1A-ENVY 4500 series,58:20:b1:d4:10:1a,2437,-79
WiFi,smartphone,1528010811466000000,eduroam,2c:d0:2d:6a:7d:01,2412,-46
WiFi,smartphone,1528010811465000000,VU-Campusnet,2c:d0:2d:6a:7d:00,2412,-46
WiFi,smartphone,1528010811465000000,eduroam,2c:d0:2d:37:e7:c1,2412,-75
WiFi,smartphone,1528010811465000000,VUwirelessSetup,2c:d0:2d:6a:7d:03,2412,-46
WiFi,smartphone,1528010811465000000,eduroam,2c:d0:2d:50:70:31,2462,-71
WiFi,smartphone,1528010811465000000,VU-Campusnet,2c:d0:2d:50:70:30,2462,-73
WiFi,smartphone,1528010811465000000,VU-Campusnet,2c:d0:2d:37:e7:c0,2412,-74
WiFi,smartphone,1528010811465000000,VU-Campusnet,2c:d0:2d:32:40:e0,2437,-67
WiFi,smartphone,1528010811465000000,eduroam,2c:d0:2d:32:40:e1,2437,-67
WiFi,smartphone,1528010811465000000,DIRECT-C0-HP OfficeJet Pro 6970,f4:30:b9:31:98:c1,2437,-79
WiFi,smartphone,1528010811465000000,VUwirelessSetup,2c:d0:2d:50:70:33,2462,-70
WiFi,smartphone,1528010811466000000,VUwirelessSetup,2c:d0:2d:37:e7:c3,2412,-76
WiFi,smartphone,1528010811466000000,VUwirelessSetup,2c:d0:2d:32:40:e3,2437,-66
WiFi,smartphone,1528010811465000000,HP-Print-1A-ENVY 4500 series,58:20:b1:d4:10:1a,2437,-79
WiFi,smartphone,1528010811465000000,eduroam,2c:d0:2d:6a:7d:01,2412,-46
WiFi,smartphone,1528010811466000000,VU-Campusnet,2c:d0:2d:6a:7d:00,2412,-46
WiFi,smartphone,1528010811466000000,eduroam,2c:d0:2d:37:e7:c1,2412,-75
WiFi,smartphone,1528010811465000000,VUwirelessSetup,2c:d0:2d:6a:7d:03,2412,-46
WiFi,smartphone,1528010811465000000,eduroam,2c:d0:2d:50:70:31,2462,-76
WiFi,smartphone,1528010811465000000,VU-Campusnet,2c:d0:2d:50:70:30,2462,-77
WiFi,smartphone,1528010811465000000,VU-Campusnet,2c:d0:2d:37:e7:c0,2412,-74
WiFi,smartphone,1528010811465000000,VU-Campusnet,2c:d0:2d:32:40:e0,2437,-67
WiFi,smartphone,1528010811465000000,eduroam,2c:d0:2d:32:40:e1,2437,-67
WiFi,smartphone,1528010811465000000,DIRECT-C0-HP OfficeJet Pro 6970,f4:30:b9:31:98:c1,2437,-79
WiFi,smartphone,1528010811465000000,VUwirelessSetup,2c:d0:2d:50:70:33,2462,-76
WiFi,smartphone,1528010811465000000,VUwirelessSetup,2c:d0:2d:37:e7:c3,2412,-76
WiFi,smartphone,1528010811465000000,VUwirelessSetup,2c:d0:2d:32:40:e3,2437,-66
WiFi,smartphone,1528010811466000000,HP-Print-1A-ENVY 4500 series,58:20:b1:d4:10:1a,2437,-79
WiFi,smartphone,1528010811465000000,eduroam,2c:d0:2d:6a:7d:01,2412,-46
WiFi,smartphone,1528010811465000000,VU-Campusnet,2c:d0:2d:6a:7d:00,2412,-46
WiFi,smartphone,1528010811465000000,eduroam,2c:d0:2d:37:e7:c1,2412,-75
WiFi,smartphone,1528010811465000000,VUwirelessSetup,2c:d0:2d:6a:7d:03,2412,-46
WiFi,smartphone,1528010811465000000,eduroam,2c:d0:2d:50:70:31,2462,-76
WiFi,smartphone,1528010811465000000,VU-Campusnet,2c:d0:2d:50:70:30,2462,-77
WiFi,smartphone,1528010811466000000,VU-Campusnet,2c:d0:2d:37:e7:c0,2412,-74
WiFi,smartphone,1528010811465000000,VU-Campusnet,2c:d0:2d:32:40:e0,2437,-70
WiFi,smartphone,1528010811465000000,eduroam,2c:d0:2d:32:40:e1,2437,-70
WiFi,smartphone,1528010811465000000,DIRECT-C0-HP OfficeJet Pro 6970,f4:30:b9:31:98:c1,2437,-79
WiFi,smartphone,1528010811465000000,VUwirelessSetup,2c:d0:2d:50:70:33,2462,-76
WiFi,smartphone,1528010811465000000,VUwirelessSetup,2c:d0:2d:37:e7:c3,2412,-75
WiFi,smartphone,1528010811465000000,VUwirelessSetup,2c:d0:2d:32:40:e3,2437,-69
WiFi,smartphone,1528010811465000000,HP-Print-1A-ENVY 4500 series,58:20:b1:d4:10:1a,2437,-79
WiFi,smartphone,1528010811465000000,eduroam,2c:d0:2d:6a:7d:01,2412,-46
WiFi,smartphone,1528010811465000000,VU-Campusnet,2c:d0:2d:6a:7d:00,2412,-46
WiFi,smartphone,1528010811465000000,eduroam,2c:d0:2d:37:e7:c1,2412,-74
WiFi,smartphone,1528010811465000000,VUwirelessSetup,2c:d0:2d:6a:7d:03,2412,-46
