sensor_type,device_type,timestamps,x,y,z
orientation,smartphone,1528450242956000000,8.66,-28.96,6.0
orientation,smartphone,1528450242966000000,23.66,-28.869999,6.16
orientation,smartphone,1528450242976000000,35.48,-28.82,6.3599997
orientation,smartphone,1528450242987000000,44.559998,-28.71,6.6
orientation,smartphone,1528450242996000000,51.05,-28.619999,6.92
orientation,smartphone,1528450243006000000,55.85,-28.48,7.27
orientation,smartphone,1528450243016000000,59.379997,-28.34,7.6699996
orientation,smartphone,1528450243027000000,62.129997,-28.279999,8.04
orientation,smartphone,1528450243036000000,64.36,-28.269999,8.37
orientation,smartphone,1528450243046000000,66.22,-28.22,8.679999
orientation,smartphone,1528450243056000000,67.84,-28.14,8.929999
orientation,smartphone,1528450243066000000,69.28,-27.97,9.22
orientation,smartphone,1528450243076000000,70.58,-27.769999,9.599999
orientation,smartphone,1528450243086000000,71.89,-27.55,9.94
orientation,smartphone,1528450243097000000,73.159996,-27.34,10.26
orientation,smartphone,1528450243106000000,74.35,-27.18,10.58
orientation,smartphone,1528450243116000000,75.47,-27.01,10.92
orientation,smartphone,1528450243126000000,76.509995,-26.84,11.2699995
orientation,smartphone,1528450243136000000,77.52,-26.67,11.71
orientation,smartphone,1528450243146000000,78.46,-26.74,11.69
orientation,smartphone,1528450243158000000,79.29,-26.81,11.75
orientation,smartphone,1528450243168000000,80.07,-26.88,11.86
orientation,smartphone,1528450243179000000,80.75,-26.96,12.0199995
orientation,smartphone,1528450243188000000,81.39,-26.99,12.2
orientation,smartphone,1528450243198000000,82.119995,-26.97,12.42
orientation,smartphone,1528450243209000000,83.04,-26.74,12.809999
orientation,smartphone,1528450243218000000,83.96,-26.5,13.21
orientation,smartphone,1528450243228000000,84.88,-26.25,13.549999
orientation,smartphone,1528450243238000000,85.729996,-26.07,13.74
orientation,smartphone,1528450243248000000,86.63,-25.93,13.849999
orientation,smartphone,1528450243258000000,87.6,-25.8,13.95
orientation,smartphone,1528450243269000000,88.64,-25.65,14.07
orientation,smartphone,1528450243278000000,89.68,-25.4,14.32
orientation,smartphone,1528450243288000000,90.71,-25.039999,14.549999
orientation,smartphone,1528450243298000000,91.799995,-24.619999,14.65
orientation,smartphone,1528450243308000000,92.82,-24.23,14.71
orientation,smartphone,1528450243318000000,93.79,-23.89,14.7
orientation,smartphone,1528450243328000000,94.619995,-23.619999,14.65
orientation,smartphone,1528450243339000000,95.27,-23.24,14.639999
orientation,smartphone,1528450243348000000,95.759995,-22.85,14.549999
orientation,smartphone,1528450243359000000,96.1,-22.46,14.45
orientation,smartphone,1528450243368000000,96.299995,-22.189999,14.2699995
orientation,smartphone,1528450243378000000,96.38,-22.0,13.889999
orientation,smartphone,1528450243389000000,96.4,-21.789999,13.389999
orientation,smartphone,1528450243398000000,96.36,-21.51,12.7
orientation,smartphone,1528450243408000000,96.27,-21.22,11.759999
orientation,smartphone,1528450243418000000,96.1,-21.189999,10.309999
orientation,smartphone,1528450243428000000,95.909996,-21.18,9.07
orientation,smartphone,1528450243438000000,95.74,-21.17,8.0
orientation,smartphone,1528450243448000000,95.57,-21.029999,7.0499997
orientation,smartphone,1528450243458000000,95.38,-20.83,6.2799997
orientation,smartphone,1528450243468000000,95.18,-20.57,5.6099997
orientation,smartphone,1528450243478000000,94.979996,-20.189999,5.12
orientation,smartphone,1528450243488000000,94.799995,-19.64,4.92
orientation,smartphone,1528450243499000000,94.619995,-19.08,4.91
orientation,smartphone,1528450243508000000,94.39,-18.64,5.04
orientation,smartphone,1528450243518000000,94.1,-18.31,5.24
orientation,smartphone,1528450243528000000,93.799995,-17.949999,5.5299997
orientation,smartphone,1528450243538000000,93.369995,-17.85,5.8599997
orientation,smartphone,1528450243548000000,92.81,-17.94,6.33
orientation,smartphone,1528450243558000000,92.259995,-18.09,6.92
orientation,smartphone,1528450243568000000,91.68,-18.32,7.56
orientation,smartphone,1528450243578000000,91.049995,-18.619999,8.07
orientation,smartphone,1528450243589000000,90.4,-19.1,8.48
orientation,smartphone,1528450243598000000,89.67,-19.59,8.84
orientation,smartphone,1528450243608000000,88.92,-19.96,9.139999
orientation,smartphone,1528450243618000000,88.18,-20.06,9.349999
orientation,smartphone,1528450243628000000,87.369995,-20.05,9.5199995
orientation,smartphone,1528450243638000000,86.34,-20.02,9.62
orientation,smartphone,1528450243648000000,85.07,-20.07,9.75
orientation,smartphone,1528450243659000000,83.56,-20.109999,9.98
orientation,smartphone,1528450243668000000,81.979996,-19.74,10.639999
orientation,smartphone,1528450243678000000,80.36,-19.23,11.04
orientation,smartphone,1528450243689000000,78.82,-18.58,11.2
orientation,smartphone,1528450243698000000,77.189995,-18.01,11.07
orientation,smartphone,1528450243708000000,75.59,-17.52,10.57
orientation,smartphone,1528450243719000000,74.18,-16.92,9.82
orientation,smartphone,1528450243728000000,72.939995,-16.27,8.91
orientation,smartphone,1528450243738000000,71.92,-15.71,7.83
orientation,smartphone,1528450243748000000,71.13,-15.13,6.6099997
orientation,smartphone,1528450243758000000,70.49,-14.429999,5.2799997
orientation,smartphone,1528450243768000000,69.96,-13.719999,3.8999999
orientation,smartphone,1528450243779000000,69.46,-13.11,2.3999999
orientation,smartphone,1528450243788000000,69.03,-12.23,0.96999997
orientation,smartphone,1528450243798000000,68.59,-11.09,-0.42999998
orientation,smartphone,1528450243809000000,68.06,-9.91,-1.9499999
orientation,smartphone,1528450243818000000,67.38,-8.559999,-3.47
orientation,smartphone,1528450243828000000,66.58,-6.97,-4.7999997
orientation,smartphone,1528450243838000000,65.6,-5.81,-6.96
orientation,smartphone,1528450243848000000,64.7,-3.59,-6.97
orientation,smartphone,1528450243858000000,63.719997,-1.91,-7.3799996
orientation,smartphone,1528450243868000000,62.71,-0.44,-7.74
orientation,smartphone,1528450243878000000,61.69,0.87,-8.01
orientation,smartphone,1528450243888000000,60.71,1.8499999,-8.23
orientation,smartphone,1528450243898000000,59.8,2.6599998,-8.54
orientation,smartphone,1528450243908000000,58.949997,3.21,-8.91
orientation,smartphone,1528450243918000000,58.14,3.3799999,-9.26
orientation,smartphone,1528450243929000000,57.34,3.3999999,-9.22
orientation,smartphone,1528450243938000000,56.649998,3.58,-8.97
orientation,smartphone,1528450243948000000,56.1,3.83,-8.42
orientation,smartphone,1528450243958000000,55.66,4.06,-7.87
