sensor_type,device_type,timestamps,x,y,z
AK09911 Magnetometer,smartphone,1528370172682000000,-18.240356,18.630981,-37.512207
AK09911 Magnetometer,smartphone,1528370172702000000,-15.711975,17.96112,-36.83777
AK09911 Magnetometer,smartphone,1528370172721000000,-16.571045,18.624878,-36.808777
AK09911 Magnetometer,smartphone,1528370172741000000,-14.901733,18.614197,-36.820984
AK09911 Magnetometer,smartphone,1528370172761000000,-16.522217,17.306519,-36.853027
AK09911 Magnetometer,smartphone,1528370172782000000,-16.54663,17.971802,-36.114502
AK09911 Magnetometer,smartphone,1528370172801000000,-15.687561,17.30194,-36.85913
AK09911 Magnetometer,smartphone,1528370172821000000,-15.760803,19.27948,-36.793518
AK09911 Magnetometer,smartphone,1528370172841000000,-15.760803,19.27948,-36.793518
AK09911 Magnetometer,smartphone,1528370172861000000,-14.852905,17.300415,-36.149597
AK09911 Magnetometer,smartphone,1528370172882000000,-14.877319,17.945862,-38.275146
AK09911 Magnetometer,smartphone,1528370172902000000,-16.595459,19.284058,-36.787415
AK09911 Magnetometer,smartphone,1528370172921000000,-15.736389,18.629456,-35.383606
AK09911 Magnetometer,smartphone,1528370172941000000,-16.571045,18.630981,-36.09314
AK09911 Magnetometer,smartphone,1528370172961000000,-15.785217,19.943237,-36.05652
AK09911 Magnetometer,smartphone,1528370172982000000,-17.333984,16.653442,-36.868286
AK09911 Magnetometer,smartphone,1528370173002000000,-19.703674,21.71936,-25.657654
AK09911 Magnetometer,smartphone,1528370173022000000,-20.53833,21.730042,-24.935913
AK09911 Magnetometer,smartphone,1528370173041000000,-21.348572,21.066284,-26.382446
AK09911 Magnetometer,smartphone,1528370173062000000,-19.67926,21.054077,-26.39618
AK09911 Magnetometer,smartphone,1528370173082000000,-21.372986,21.725464,-26.361084
AK09911 Magnetometer,smartphone,1528370173101000000,-20.53833,21.73462,-24.220276
AK09911 Magnetometer,smartphone,1528370173121000000,-20.513916,21.055603,-27.105713
AK09911 Magnetometer,smartphone,1528370173141000000,-20.53833,21.730042,-24.935913
AK09911 Magnetometer,smartphone,1528370173161000000,-19.703674,21.71936,-25.657654
AK09911 Magnetometer,smartphone,1528370173181000000,-20.562744,22.389221,-24.91455
AK09911 Magnetometer,smartphone,1528370173202000000,-19.67926,21.064758,-24.963379
AK09911 Magnetometer,smartphone,1528370173221000000,-19.67926,21.064758,-24.963379
AK09911 Magnetometer,smartphone,1528370173242000000,-19.67926,21.0495,-27.111816
AK09911 Magnetometer,smartphone,1528370173261000000,-20.53833,21.723938,-25.65155
AK09911 Magnetometer,smartphone,1528370173281000000,-20.587158,23.03772,-26.324463
AK09911 Magnetometer,smartphone,1528370173301000000,-18.869019,21.713257,-25.663757
AK09911 Magnetometer,smartphone,1528370173321000000,-19.654846,20.401001,-25.701904
AK09911 Magnetometer,smartphone,1528370173341000000,-16.914368,18.899536,-37.190247
AK09911 Magnetometer,smartphone,1528370173361000000,-16.12854,20.207214,-37.869263
AK09911 Magnetometer,smartphone,1528370173381000000,-15.26947,19.548035,-37.18109
AK09911 Magnetometer,smartphone,1528370173401000000,-16.079712,18.899536,-36.480713
AK09911 Magnetometer,smartphone,1528370173421000000,-15.26947,19.55719,-35.749817
AK09911 Magnetometer,smartphone,1528370173441000000,-15.220642,18.229675,-37.22534
AK09911 Magnetometer,smartphone,1528370173461000000,-18.58368,18.910217,-37.17804
AK09911 Magnetometer,smartphone,1528370173481000000,-16.055298,18.244934,-35.786438
AK09911 Magnetometer,smartphone,1528370173502000000,-16.079712,18.904114,-35.765076
AK09911 Magnetometer,smartphone,1528370173521000000,-16.104126,19.558716,-36.45935
