sensor_type,device_type,timestamps,steps
Step Counter,smartphone,1528370172650000000,3860.0
Step Counter,smartphone,1528370405160000000,3860.0
Step Counter,smartphone,1528370437156000000,3860.0
Step Counter,smartphone,1528370437160000000,3860.0
Step Counter,smartphone,1528370450994000000,3860.0
Step Counter,smartphone,1528370450997000000,3860.0
Step Counter,smartphone,1528370451001000000,3860.0
Step Counter,smartphone,1528370447593000000,3864.0
Step Counter,smartphone,1528370454463000000,3874.0
Step Counter,smartphone,1528370455573000000,3876.0
Step Counter,smartphone,1528370456684000000,3878.0
Step Counter,smartphone,1528370457815000000,3880.0
Step Counter,smartphone,1528370458724000000,3882.0
Step Counter,smartphone,1528370459492000000,3883.0
Step Counter,smartphone,1528370460602000000,3885.0
Step Counter,smartphone,1528370461713000000,3887.0
Step Counter,smartphone,1528370462824000000,3889.0
Step Counter,smartphone,1528370463915000000,3891.0
Step Counter,smartphone,1528370464440000000,3892.0
Step Counter,smartphone,1528370465551000000,3894.0
Step Counter,smartphone,1528370466682000000,3896.0
Step Counter,smartphone,1528370467813000000,3898.0
Step Counter,smartphone,1528370468904000000,3900.0
Step Counter,smartphone,1528370469470000000,3901.0
Step Counter,smartphone,1528370470923000000,3904.0
Step Counter,smartphone,1528370471691000000,3905.0
Step Counter,smartphone,1528370472803000000,3907.0
Step Counter,smartphone,1528370473913000000,3909.0
Step Counter,smartphone,1528370474478000000,3910.0
Step Counter,smartphone,1528370475590000000,3912.0
Step Counter,smartphone,1528370476721000000,3914.0
Step Counter,smartphone,1528370477852000000,3916.0
Step Counter,smartphone,1528370478983000000,3918.0
Step Counter,smartphone,1528370479569000000,3919.0
Step Counter,smartphone,1528370480659000000,3921.0
Step Counter,smartphone,1528370481770000000,3923.0
Step Counter,smartphone,1528370482902000000,3925.0
Step Counter,smartphone,1528370483467000000,3926.0
Step Counter,smartphone,1528370484599000000,3928.0
Step Counter,smartphone,1528370485709000000,3930.0
Step Counter,smartphone,1528370486821000000,3932.0
Step Counter,smartphone,1528370487729000000,3934.0
Step Counter,smartphone,1528370488860000000,3936.0
Step Counter,smartphone,1528370489607000000,3937.0
Step Counter,smartphone,1528370490860000000,3939.0
Step Counter,smartphone,1528370492012000000,3941.0
Step Counter,smartphone,1528370492940000000,3943.0
Step Counter,smartphone,1528370493990000000,3945.0
Step Counter,smartphone,1528370494556000000,3946.0
Step Counter,smartphone,1528370495687000000,3948.0
Step Counter,smartphone,1528370496818000000,3950.0
Step Counter,smartphone,1528370497909000000,3952.0
Step Counter,smartphone,1528370499041000000,3954.0
Step Counter,smartphone,1528370499566000000,3955.0
Step Counter,smartphone,1528370500758000000,3957.0
Step Counter,smartphone,1528370501747000000,3959.0
Step Counter,smartphone,1528370502898000000,3961.0
Step Counter,smartphone,1528370503888000000,3963.0
Step Counter,smartphone,1528370504555000000,3964.0
Step Counter,smartphone,1528370505928000000,3967.0
Step Counter,smartphone,1528370507308000000,3969.0
Step Counter,smartphone,1528370507313000000,3969.0
Step Counter,smartphone,1528370507317000000,3969.0
Step Counter,smartphone,1528370507844000000,3971.0
Step Counter,smartphone,1528370509116000000,3974.0
Step Counter,smartphone,1528370510288000000,3978.0
Step Counter,smartphone,1528370511197000000,3981.0
Step Counter,smartphone,1528370512167000000,3984.0
Step Counter,smartphone,1528370512914000000,3986.0
Step Counter,smartphone,1528370513964000000,3988.0
Step Counter,smartphone,1528370515035000000,3990.0
Step Counter,smartphone,1528370516085000000,3992.0
Step Counter,smartphone,1528370517155000000,3993.0
Step Counter,smartphone,1528370518205000000,3995.0
Step Counter,smartphone,1528370519276000000,3997.0
Step Counter,smartphone,1528370519600000000,3998.0
Step Counter,smartphone,1528370520932000000,4000.0
Step Counter,smartphone,1528370522044000000,4002.0
Step Counter,smartphone,1528370523174000000,4004.0
Step Counter,smartphone,1528370524104000000,4006.0
Step Counter,smartphone,1528370524932000000,4007.0
Step Counter,smartphone,1528370526084000000,4009.0
Step Counter,smartphone,1528370527254000000,4011.0
Step Counter,smartphone,1528370527820000000,4012.0
Step Counter,smartphone,1528370528951000000,4014.0
Step Counter,smartphone,1528370530103000000,4016.0
Step Counter,smartphone,1528370531234000000,4018.0
Step Counter,smartphone,1528370531880000000,4019.0
Step Counter,smartphone,1528370532970000000,4021.0
Step Counter,smartphone,1528370533879000000,4022.0
Step Counter,smartphone,1528370548221000000,4035.0
Step Counter,smartphone,1528370549271000000,4037.0
Step Counter,smartphone,1528370549999000000,4038.0
Step Counter,smartphone,1528370551028000000,4040.0
Step Counter,smartphone,1528370552139000000,4042.0
Step Counter,smartphone,1528370553210000000,4044.0
Step Counter,smartphone,1528370554240000000,4046.0
Step Counter,smartphone,1528370555270000000,4048.0
Step Counter,smartphone,1528370556301000000,4050.0
Step Counter,smartphone,1528370556643000000,4051.0
Step Counter,smartphone,1528370557714000000,4053.0
Step Counter,smartphone,1528370558785000000,4055.0
Step Counter,smartphone,1528370559996000000,4057.0
Step Counter,smartphone,1528370560521000000,4058.0
Step Counter,smartphone,1528370562036000000,4060.0
Step Counter,smartphone,1528370563066000000,4062.0
Step Counter,smartphone,1528370564157000000,4064.0
Step Counter,smartphone,1528370565269000000,4066.0
Step Counter,smartphone,1528370565935000000,4067.0
Step Counter,smartphone,1528370566964000000,4069.0
Step Counter,smartphone,1528370567732000000,4070.0
Step Counter,smartphone,1528370568601000000,4071.0
Step Counter,smartphone,1528370570177000000,4073.0
Step Counter,smartphone,1528370571065000000,4074.0
Step Counter,smartphone,1528370572256000000,4076.0
Step Counter,smartphone,1528370572782000000,4077.0
Step Counter,smartphone,1528370573974000000,4079.0
Step Counter,smartphone,1528370575206000000,4081.0
Step Counter,smartphone,1528370575913000000,4082.0
Step Counter,smartphone,1528370576620000000,4083.0
Step Counter,smartphone,1528370578316000000,4085.0
Step Counter,smartphone,1528370578983000000,4086.0
Step Counter,smartphone,1528370580215000000,4088.0
Step Counter,smartphone,1528370581265000000,4090.0
Step Counter,smartphone,1528370582417000000,4092.0
Step Counter,smartphone,1528370583911000000,4094.0
Step Counter,smartphone,1528370585043000000,4096.0
Step Counter,smartphone,1528370586133000000,4098.0
Step Counter,smartphone,1528370586921000000,4099.0
Step Counter,smartphone,1528370588234000000,4101.0
Step Counter,smartphone,1528370589122000000,4102.0
Step Counter,smartphone,1528370590233000000,4104.0
Step Counter,smartphone,1528370591324000000,4106.0
Step Counter,smartphone,1528370592354000000,4108.0
Step Counter,smartphone,1528370592919000000,4109.0
Step Counter,smartphone,1528370593930000000,4111.0
Step Counter,smartphone,1528370595061000000,4113.0
Step Counter,smartphone,1528370597068000000,4116.0
Step Counter,smartphone,1528370597075000000,4116.0
Step Counter,smartphone,1528370597080000000,4116.0
Step Counter,smartphone,1528370597787000000,4117.0
Step Counter,smartphone,1528370598857000000,4119.0
Step Counter,smartphone,1528370599949000000,4120.0
Step Counter,smartphone,1528370601019000000,4122.0
Step Counter,smartphone,1528370602634000000,4124.0
Step Counter,smartphone,1528370603706000000,4126.0
Step Counter,smartphone,1528370604817000000,4128.0
Step Counter,smartphone,1528370605907000000,4130.0
Step Counter,smartphone,1528370607038000000,4132.0
Step Counter,smartphone,1528370607907000000,4134.0
Step Counter,smartphone,1528370608715000000,4135.0
Step Counter,smartphone,1528370609806000000,4137.0
Step Counter,smartphone,1528370610896000000,4139.0
Step Counter,smartphone,1528370611987000000,4141.0
Step Counter,smartphone,1528370613057000000,4143.0
Step Counter,smartphone,1528370613603000000,4144.0
Step Counter,smartphone,1528370614673000000,4146.0
Step Counter,smartphone,1528370615764000000,4148.0
Step Counter,smartphone,1528370616855000000,4150.0
Step Counter,smartphone,1528370617723000000,4152.0
Step Counter,smartphone,1528370618511000000,4153.0
Step Counter,smartphone,1528370619985000000,4156.0
Step Counter,smartphone,1528370620753000000,4157.0
Step Counter,smartphone,1528370621884000000,4159.0
Step Counter,smartphone,1528370622914000000,4161.0
Step Counter,smartphone,1528370623924000000,4163.0
Step Counter,smartphone,1528370625014000000,4165.0
Step Counter,smartphone,1528370626549000000,4167.0
Step Counter,smartphone,1528370627802000000,4169.0
Step Counter,smartphone,1528370628974000000,4170.0
Step Counter,smartphone,1528370629358000000,4171.0
Step Counter,smartphone,1528370630630000000,4173.0
Step Counter,smartphone,1528370631801000000,4175.0
Step Counter,smartphone,1528370634728000000,4177.0
Step Counter,smartphone,1528370635767000000,4179.0
